Net Asset Value,Repurchase Price,Sale Price,NAV date
48.5691,,,01-Jan-21
49.1367,,,04-Jan-21
49.3475,,,05-Jan-21
49.35,,,06-Jan-21
49.3713,,,07-Jan-21
50.0925,,,08-Jan-21
50.5004,,,11-Jan-21
50.8188,,,12-Jan-21
50.7719,,,13-Jan-21
50.7979,,,14-Jan-21
50.0913,,,15-Jan-21
49.4722,,,18-Jan-21
50.3164,,,19-Jan-21
50.6118,,,20-Jan-21
50.1966,,,21-Jan-21
49.4921,,,22-Jan-21
49.1167,,,25-Jan-21
48.2769,,,27-Jan-21
47.893,,,28-Jan-21
47.37,,,29-Jan-21
49.7748,,,01-Feb-21
51.1817,,,02-Feb-21
51.7911,,,03-Feb-21
52.3505,,,04-Feb-21
52.4057,,,05-Feb-21
53.235,,,08-Feb-21
53.176,,,09-Feb-21
53.2732,,,10-Feb-21
53.4096,,,11-Feb-21
53.4131,,,12-Feb-21
54.2458,,,15-Feb-21
54.2151,,,16-Feb-21
54.0987,,,17-Feb-21
53.7345,,,18-Feb-21
53.0466,,,19-Feb-21
52.0434,,,22-Feb-21
52.3005,,,23-Feb-21
53.1479,,,24-Feb-21
53.5297,,,25-Feb-21
51.7343,,,26-Feb-21
52.6223,,,01-Mar-21
53.2876,,,02-Mar-21
54.1429,,,03-Mar-21
53.7152,,,04-Mar-21
53.0513,,,05-Mar-21
53.1595,,,08-Mar-21
53.4214,,,09-Mar-21
53.7193,,,10-Mar-21
53.1399,,,12-Mar-21
52.776,,,15-Mar-21
52.6373,,,16-Mar-21
51.8684,,,17-Mar-21
51.2855,,,18-Mar-21
51.7971,,,19-Mar-21
51.8633,,,22-Mar-21
52.2494,,,23-Mar-21
51.1937,,,24-Mar-21
50.4041,,,25-Mar-21
51.0663,,,26-Mar-21
52.0845,,,30-Mar-21
51.7916,,,31-Mar-21
52.3649,,,01-Apr-21
51.4777,,,05-Apr-21
51.5207,,,06-Apr-21
52.1916,,,07-Apr-21
52.3198,,,08-Apr-21
52.1241,,,09-Apr-21
50.0716,,,12-Apr-21
50.9592,,,13-Apr-21
51.16,,,15-Apr-21
51.4578,,,16-Apr-21
50.4631,,,19-Apr-21
50.3065,,,20-Apr-21
50.7439,,,22-Apr-21
50.5466,,,23-Apr-21
50.9805,,,26-Apr-21
51.5396,,,27-Apr-21
52.0802,,,28-Apr-21
51.9428,,,29-Apr-21
51.1878,,,30-Apr-21
51.1905,,,03-May-21
50.7017,,,04-May-21
51.2039,,,05-May-21
51.6045,,,06-May-21
51.7653,,,07-May-21
52.2562,,,10-May-21
52.0591,,,11-May-21
51.5743,,,12-May-21
51.308,,,14-May-21
52.1408,,,17-May-21
52.8088,,,18-May-21
52.7066,,,19-May-21
52.4685,,,20-May-21
53.3476,,,21-May-21
53.6006,,,24-May-21
53.4603,,,25-May-21
53.6183,,,26-May-21
53.6757,,,27-May-21
53.9276,,,28-May-21
54.3318,,,31-May-21
54.2467,,,01-Jun-21
54.5283,,,02-Jun-21
54.8527,,,03-Jun-21
54.785,,,04-Jun-21
55.0758,,,07-Jun-21
55.1045,,,08-Jun-21
54.7273,,,09-Jun-21
55.0959,,,10-Jun-21
55.1252,,,11-Jun-21
55.1412,,,14-Jun-21
55.35,,,15-Jun-21
55.0056,,,16-Jun-21
54.6337,,,17-Jun-21
54.445,,,18-Jun-21
54.6267,,,21-Jun-21
54.8026,,,22-Jun-21
54.6627,,,23-Jun-21
54.9843,,,24-Jun-21
55.4772,,,25-Jun-21
55.3722,,,28-Jun-21
55.0383,,,29-Jun-21
55.0242,,,30-Jun-21
54.9398,,,01-Jul-21
55.1908,,,02-Jul-21
55.5922,,,05-Jul-21
55.5565,,,06-Jul-21
55.8001,,,07-Jul-21
55.2933,,,08-Jul-21
55.3035,,,09-Jul-21
55.4117,,,12-Jul-21
55.7851,,,13-Jul-21
55.9683,,,14-Jul-21
56.3201,,,15-Jul-21
56.3514,,,16-Jul-21
55.8721,,,19-Jul-21
55.2584,,,20-Jul-21
55.9603,,,22-Jul-21
56.2101,,,23-Jul-21
56.1164,,,26-Jul-21
55.8802,,,27-Jul-21
55.7787,,,28-Jul-21
56.1374,,,29-Jul-21
56.2625,,,30-Jul-21
56.8322,,,02-Aug-21
57.5184,,,03-Aug-21
57.7605,,,04-Aug-21
57.8342,,,05-Aug-21
57.5186,,,06-Aug-21
57.5518,,,09-Aug-21
57.5354,,,10-Aug-21
57.4255,,,11-Aug-21
57.6768,,,12-Aug-21
58.1291,,,13-Aug-21
57.9445,,,16-Aug-21
57.9635,,,17-Aug-21
57.7904,,,18-Aug-21
57.0442,,,20-Aug-21
57.0363,,,23-Aug-21
57.5298,,,24-Aug-21
57.6102,,,25-Aug-21
57.6708,,,26-Aug-21
58.0228,,,27-Aug-21
58.9473,,,30-Aug-21
59.6051,,,31-Aug-21
59.5985,,,01-Sep-21
60.085,,,02-Sep-21
60.4405,,,03-Sep-21
60.5591,,,06-Sep-21
60.4544,,,07-Sep-21
60.4568,,,08-Sep-21
60.4641,,,09-Sep-21
60.5534,,,13-Sep-21
60.7705,,,14-Sep-21
61.3074,,,15-Sep-21
61.7021,,,16-Sep-21
61.5327,,,17-Sep-21
60.6894,,,20-Sep-21
61.1173,,,21-Sep-21
61.3747,,,22-Sep-21
62.3959,,,23-Sep-21
62.4181,,,24-Sep-21
62.4277,,,27-Sep-21
61.9555,,,28-Sep-21
62.0292,,,29-Sep-21
61.6006,,,30-Sep-21
61.3505,,,01-Oct-21
62.0078,,,04-Oct-21
62.17,,,05-Oct-21
61.53,,,06-Oct-21
62.394,,,07-Oct-21
62.3717,,,08-Oct-21
62.876,,,11-Oct-21
62.9754,,,12-Oct-21
63.6447,,,13-Oct-21
64.2178,,,14-Oct-21
64.5425,,,18-Oct-21
64.0111,,,19-Oct-21
63.2853,,,20-Oct-21
63.1751,,,21-Oct-21
62.861,,,22-Oct-21
62.6828,,,25-Oct-21
63.306,,,26-Oct-21
63.4205,,,27-Oct-21
62.3183,,,28-Oct-21
61.9061,,,29-Oct-21
62.8558,,,01-Nov-21
62.7813,,,02-Nov-21
62.6647,,,03-Nov-21
63.6068,,,08-Nov-21
63.6342,,,09-Nov-21
63.6182,,,10-Nov-21
63.148,,,11-Nov-21
63.926,,,12-Nov-21
63.914,,,15-Nov-21
63.6619,,,16-Nov-21
63.1331,,,17-Nov-21
62.521,,,18-Nov-21
61.2943,,,22-Nov-21
61.7717,,,23-Nov-21
61.4915,,,24-Nov-21
61.8073,,,25-Nov-21
60.0198,,,26-Nov-21
59.8806,,,29-Nov-21
59.8,,,30-Nov-21
60.2161,,,01-Dec-21
60.9038,,,02-Dec-21
60.4075,,,03-Dec-21
59.4911,,,06-Dec-21
60.3493,,,07-Dec-21
61.2772,,,08-Dec-21
61.4758,,,09-Dec-21
61.5429,,,10-Dec-21
61.2542,,,13-Dec-21
61.0777,,,14-Dec-21
60.7296,,,15-Dec-21
60.6386,,,16-Dec-21
59.5455,,,17-Dec-21
58.044,,,20-Dec-21
58.6547,,,21-Dec-21
59.4055,,,22-Dec-21
59.8132,,,23-Dec-21
59.5486,,,24-Dec-21
59.8145,,,27-Dec-21
60.402,,,28-Dec-21
60.3698,,,29-Dec-21
60.2828,,,30-Dec-21
60.9785,,,31-Dec-21
61.7503,,,03-Jan-22
62.0757,,,04-Jan-22
62.346,,,05-Jan-22
61.935,,,06-Jan-22
62.1878,,,07-Jan-22
62.7578,,,10-Jan-22
63.0621,,,11-Jan-22
63.5281,,,12-Jan-22
63.5917,,,13-Jan-22
63.6575,,,14-Jan-22
63.7711,,,17-Jan-22
62.9523,,,18-Jan-22
62.3826,,,19-Jan-22
61.9745,,,20-Jan-22
61.1873,,,21-Jan-22
59.5094,,,24-Jan-22
60.0053,,,25-Jan-22
59.4908,,,27-Jan-22
59.5058,,,28-Jan-22
60.3602,,,31-Jan-22
61.2106,,,01-Feb-22
61.7906,,,02-Feb-22
61.1861,,,03-Feb-22
60.9438,,,04-Feb-22
59.9494,,,07-Feb-22
59.9739,,,08-Feb-22
60.7485,,,09-Feb-22
61.1564,,,10-Feb-22
60.2986,,,11-Feb-22
58.4451,,,14-Feb-22
60.0392,,,15-Feb-22
60.0441,,,16-Feb-22
60.0266,,,17-Feb-22
59.8006,,,18-Feb-22
59.4959,,,21-Feb-22
59.1002,,,22-Feb-22
59.098,,,23-Feb-22
56.3822,,,24-Feb-22
57.8866,,,25-Feb-22
58.2919,,,28-Feb-22
57.5355,,,02-Mar-22
57.1104,,,03-Mar-22
56.2688,,,04-Mar-22
54.9475,,,07-Mar-22
55.4943,,,08-Mar-22
56.4552,,,09-Mar-22
57.2819,,,10-Mar-22
57.4954,,,11-Mar-22
58.127,,,14-Mar-22
57.6298,,,15-Mar-22
58.6278,,,16-Mar-22
59.5989,,,17-Mar-22
59.0616,,,21-Mar-22
59.5081,,,22-Mar-22
59.396,,,23-Mar-22
59.2069,,,24-Mar-22
59.0317,,,25-Mar-22
59.289,,,28-Mar-22
59.7747,,,29-Mar-22
60.2949,,,30-Mar-22
60.1474,,,31-Mar-22
60.752,,,01-Apr-22
62.0002,,,04-Apr-22
61.8763,,,05-Apr-22
61.412,,,06-Apr-22
61.0974,,,07-Apr-22
61.6171,,,08-Apr-22
61.3521,,,11-Apr-22
60.7525,,,12-Apr-22
60.7499,,,13-Apr-22
59.9279,,,18-Apr-22
59.0561,,,19-Apr-22
59.6689,,,20-Apr-22
60.4562,,,21-Apr-22
59.6907,,,22-Apr-22
58.9053,,,25-Apr-22
59.8966,,,26-Apr-22
59.3929,,,27-Apr-22
59.8937,,,28-Apr-22
59.3969,,,29-Apr-22
59.2581,,,02-May-22
57.8613,,,04-May-22
57.9187,,,05-May-22
56.8998,,,06-May-22
56.5487,,,09-May-22
56.3148,,,10-May-22
56.0778,,,11-May-22
54.9669,,,12-May-22
55.0434,,,13-May-22
55.34,,,16-May-22
